"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","grass","shrub","tree","vegetation_type"
"135","NTAFIN0027",0,0,0.1,0,0,0,3.8,0,0,0,0,0,0,0,0.6,0,0,0,0,39.6,0,43.4,0.7,0,"grass"
"136","NTAFIN0028",0,0,7.5,0,0,0,0.7,0,0,0,0,0,0,0.3,0,0,0,0,0,6.3,0,7.3,7.5,0,"shrub"
"137","NTAFIN0029",0,0,2.5,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,19.8,0,21,2.5,0,"grass"
"138","NTAFIN0030",0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,3.7,41.4,0,0,0,0,7.6,0,11.9,42,0,"shrub"
"139","NTAFIN0031",0,0,3.9,0,0,0,1.2,0,0,0,0,0,0,0.1,9.8,0,0,0,0,3.2,0,4.5,13.7,0,"shrub"
"140","NTAFIN0032",0,0,0.2,0,0,0,0.5,0,0,0,5,0,0,0,22.9,0,0,0,0,21.6,0,27.1,23.1,0,"grass"
"141","NTAFIN0033",0,0,0.5,0,0,0,3.6,0,0,0,2.9,0,0,0,13.2,0,0,0,2.7,21.2,0,27.7,13.7,2.7,"grass"
"142","NTAGFU0001",0,0,0.3,0,0,0,3.1,0,0,0,0,0,0,0,9.3,0,0,5.7,0.9,39.6,0,42.7,9.6,6.6,"grass"
"143","NTAGFU0002",0,0,0,0,0,0,0.3,0,0,0,32.3,0,0,1.5,1.1,0,0,9.4,0,6.4,1.4,40.5,2.5,9.4,"grass"
"144","NTAGFU0003",0,0,0,0,0,0,2.8,0,0,0,6.3,0,0,0,0.5,0,0,24.3,0,18.5,0,27.6,0.5,24.3,"grass"
"145","NTAGFU0004",0,0,0,0,0,0,1.5,0,0,0,24.3,0,0,0.3,2.7,0,0,0,0.4,2,0,28.1,2.7,0.4,"grass"
"146","NTAGFU0005",0,0,0,0,0,0,1,0,0,0,32.6,0,0,0.5,17.7,0,0,0,14,7.8,0.1,41.9,17.8,14,"grass"
"147","NTAGFU0006",0,0,0,0,0,0,7.1,0,0,0,13,0,0,0,2.7,0,0,0,6.3,54.7,0.1,74.8,2.8,6.3,"grass"
"148","NTAGFU0007",0,0,0,0,0,0,0.1,0,0,0,40.6,0,0,0.2,4.4,0,0,0,0,0.3,0,41.2,4.4,0,"grass"
"149","NTAGFU0008",0,0,0.1,0,0,0,3,0,0,0,17.5,0,0,5.5,0.1,0,0,1.9,0,10.5,0,36.5,0.2,1.9,"grass"
"150","NTAGFU0009",0,0,0,0,0,0,0.1,0,0,0,22.7,0,0,0,8.7,0,0,0.1,12.8,13.1,0.1,35.9,8.8,12.9,"grass"
