Label SW,site_location_name,site_location_id,established_date,point,latitude,longitude,threedcq,,,,
,NSAMDD0024,60246,10/08/2014,SE,-32.68220556,144.6285278,7,,,,
NSAMDD0024,NSAMDD0024,60246,10/08/2014,SW,-32.68220833,144.6274611,379,,,,
,NSAMDD0025,60330,12/08/2014,CENTRE,-31.60813889,144.2475222,5.678,,,,
,NSAMDD0025,60330,12/08/2014,NE,-31.60769167,144.2480472,1.31,,,,
,NSAMDD0025,60330,12/08/2014,NW,-31.60769722,144.2469972,0.973,,,,
,NSAMDD0025,60330,12/08/2014,SE,-31.60861667,144.2480389,9.894,,,,
NSAMDD0025,NSAMDD0025,60330,12/08/2014,SW,-31.60859167,144.2469944,6.494,,,,
,NSAMDD0026,60247,12/08/2014,CENTRE,-31.62757222,144.2016806,321,,,,
,NSAMDD0026,60247,12/08/2014,NE,-31.62711389,144.2022083,891,,,,
,NSAMDD0026,60247,12/08/2014,NW,-31.62711389,144.2011528,925,,,,
,NSAMDD0026,60247,12/08/2014,SE,-31.62801389,144.2022028,972,,,,
NSAMDD0026,NSAMDD0026,60247,12/08/2014,SW,-31.62801111,144.2011528,678,,,,
,NSAMDD0027,60333,13/08/2014,CENTRE,-31.48648889,144.1901167,6.861,,,,
,NSAMDD0027,60333,13/08/2014,NE,-31.48603611,144.1907,6.291,,,,
,NSAMDD0027,60333,13/08/2014,NW,-31.48603889,144.1896444,0.82,,,,
,NSAMDD0027,60333,13/08/2014,SE,-31.48694167,144.1907028,6.527,,,,
NSAMDD0027,NSAMDD0027,60333,13/08/2014,SW,-31.48691944,144.1896333,1.572,,,,
,NSAMDD0028,60248,13/08/2014,CENTRE,-31.49097778,144.1833306,327,,,,
,NSAMDD0028,60248,13/08/2014,NE,-31.49053333,144.1838667,567,,,,
,NSAMDD0028,60248,13/08/2014,NW,-31.49053333,144.1828167,393,,,,
,NSAMDD0028,60248,13/08/2014,SE,-31.49143333,144.1838556,707,,,,
NSAMDD0028,NSAMDD0028,60248,13/08/2014,SW,-31.49143889,144.1828167,634,,,,
,NSAMDD0029,60334,14/08/2014,CENTRE,-31.33203889,144.3674778,1.441,,,,
,NSAMDD0029,60334,14/08/2014,NE,-31.33161389,144.3680111,1.118,,,,
,NSAMDD0029,60334,14/08/2014,NW,-31.33161111,144.3669361,13.047,,,,
,NSAMDD0029,60334,14/08/2014,SE,-31.332525,144.3680056,12.803,,,,
NSAMDD0029,NSAMDD0029,60334,14/08/2014,SW,-31.33251667,144.3669639,11.84,,,,
,NSAMDD0030,60249,14/08/2014,CENTRE,-31.317475,144.3642889,356,,,,
,NSAMDD0030,60249,14/08/2014,NE,-31.31702778,144.3648167,810,,,,
,NSAMDD0030,60249,14/08/2014,NW,-31.31702778,144.3637667,905,,,,
,NSAMDD0030,60249,14/08/2014,SE,-31.31793056,144.3648139,157,,,,
